epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.618,1.78675,1.72366,1.73857,0.54688,0.45226,0.46535,0.17184,2.21148,2.68027,2.30503,0.000657658,0.000657658,0.000657658
2,1004.58,1.85743,1.82144,1.79294,0.53974,0.33166,0.35141,0.11943,2.41203,2.50663,2.37935,0.00125877,0.00125877,0.00125877
3,1550.05,1.87123,1.84666,1.78673,0.56257,0.44724,0.44118,0.16567,2.24697,3.2262,2.43863,0.00179388,0.00179388,0.00179388
4,2175.38,1.88077,1.82318,1.79369,0.46369,0.33668,0.31417,0.10901,2.62487,2.97675,2.79286,0.001703,0.001703,0.001703
5,2804.23,1.84106,1.84597,1.79052,0.62303,0.52323,0.51384,0.19775,2.11227,2.34383,2.1954,0.001604,0.001604,0.001604
6,3300.54,1.84926,1.82082,1.78399,0.56753,0.46821,0.46979,0.19897,2.01567,2.58135,2.13313,0.001505,0.001505,0.001505
7,3739.51,1.78475,1.70756,1.73339,0.59968,0.45226,0.46191,0.16732,2.19449,2.55369,2.27349,0.001406,0.001406,0.001406
8,4187.27,1.73262,1.54561,1.66389,0.61609,0.56281,0.56608,0.21953,2.13161,1.98919,2.20714,0.001307,0.001307,0.001307
9,4607.94,1.7396,1.59695,1.70747,0.61798,0.58794,0.61051,0.2395,2.08612,1.9163,2.12901,0.001208,0.001208,0.001208
10,5020.58,1.74071,1.54872,1.68714,0.7376,0.56502,0.64377,0.26595,2.07386,1.74661,2.0858,0.001109,0.001109,0.001109
11,5390.25,1.7259,1.47198,1.7422,0.74816,0.53742,0.66321,0.29285,1.90067,1.69249,1.95739,0.00101,0.00101,0.00101
12,5757.7,1.65389,1.32851,1.67679,0.63038,0.63317,0.65253,0.2796,1.94533,2.06084,2.00762,0.000911,0.000911,0.000911
13,12017.5,1.663,1.31741,1.69125,0.72263,0.63819,0.65669,0.29402,1.90849,1.88979,1.9726,0.000812,0.000812,0.000812
14,21537.1,1.61221,1.26842,1.64952,0.72374,0.68844,0.74031,0.33898,1.86969,1.63492,1.90209,0.000713,0.000713,0.000713
15,32513.4,1.55538,1.18142,1.60934,0.7362,0.67839,0.73615,0.34478,1.94349,1.42313,1.97776,0.000614,0.000614,0.000614
16,35495.7,1.5484,1.11299,1.60429,0.78631,0.72116,0.78166,0.34493,1.81215,1.3739,1.87648,0.000515,0.000515,0.000515
17,38582.8,1.4967,1.07285,1.56326,0.82716,0.68844,0.78801,0.37237,1.78264,1.42315,1.88247,0.000416,0.000416,0.000416
18,39066.8,1.50203,1.03747,1.57466,0.7949,0.71859,0.81107,0.39694,1.7787,1.3729,1.82557,0.000317,0.000317,0.000317
19,39618.8,1.42841,0.99483,1.50454,0.77187,0.76382,0.81516,0.38781,1.75234,1.3125,1.83184,0.000218,0.000218,0.000218
20,40168.9,1.39869,0.91919,1.48457,0.80473,0.74556,0.83354,0.42177,1.72888,1.27942,1.75688,0.000119,0.000119,0.000119
