epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.522,1.93879,3.04159,1.85411,0.30246,0.20603,0.20756,0.0713,1.86633,14.4475,1.8908,0.000662132,0.000662132,0.000662132
2,491.929,2.01227,2.68236,1.92742,0.35894,0.22613,0.19223,0.06352,2.15051,9.6358,2.41681,0.00128495,0.00128495,0.00128495
3,730.544,2.0464,2.52748,1.95347,0.39171,0.21106,0.18251,0.05545,2.20522,8.70985,2.22247,0.00186376,0.00186376,0.00186376
4,992.232,2.06572,2.43015,1.98981,0.34523,0.30653,0.20357,0.07132,2.15733,5.48121,2.17319,0.001802,0.001802,0.001802
5,1228.26,1.97577,2.23334,1.93352,0.59767,0.33593,0.34794,0.12833,1.93933,5.85824,2.01678,0.001736,0.001736,0.001736
6,1462.89,1.95317,2.25625,1.9141,0.51942,0.36683,0.39485,0.13921,1.95187,4.18595,1.99342,0.00167,0.00167,0.00167
7,1692.4,1.91812,2.14168,1.8845,0.51928,0.39698,0.43647,0.15504,1.96525,3.15031,1.9452,0.001604,0.001604,0.001604
8,1932.76,1.87059,2.00368,1.83964,0.42531,0.36818,0.35401,0.1377,1.90148,5.14204,1.97919,0.001538,0.001538,0.001538
9,2172.59,1.83938,1.95558,1.80099,0.46243,0.50251,0.43994,0.16372,1.84868,4.10276,1.85852,0.001472,0.001472,0.001472
10,2400.57,1.80875,1.98472,1.80183,0.63085,0.41206,0.46881,0.18098,1.81332,2.8307,1.86824,0.001406,0.001406,0.001406
11,2633.98,1.82251,1.93139,1.78665,0.62851,0.48241,0.53282,0.21245,1.72557,2.77306,1.79269,0.00134,0.00134,0.00134
12,2878.79,1.81115,1.88008,1.75887,0.65622,0.52757,0.56414,0.21986,1.80282,2.55981,1.79901,0.001274,0.001274,0.001274
13,3108.4,1.76151,1.82231,1.75014,0.67561,0.51284,0.57597,0.23426,1.76072,2.14299,1.8218,0.001208,0.001208,0.001208
